zcta,walk_score,transit_score,bike_score
85003,92.0,,
85004,95.0,,
85006,84.0,,
85007,63.0,,
85008,72.0,,
85009,46.0,,
85012,80.0,,
85013,84.0,,
85014,79.0,,
85015,73.0,,
85016,62.0,,
85017,59.0,,
85018,28.0,,
85019,64.0,,
85020,61.0,,
85021,47.0,,
85022,4.0,,
85023,12.0,,
85024,12.0,,
85027,47.0,,
85028,67.0,,
85029,39.0,,
85031,82.0,,
85032,52.0,,
85033,70.0,,
85034,9.0,,
85035,34.0,,
85037,7.0,,
85040,45.0,,
85041,21.0,,
85042,1.0,,
85043,13.0,,
85044,5.0,,
85045,1.0,,
85048,11.0,,
85050,10.0,,
85051,42.0,,
85053,72.0,,
85054,2.0,,
85083,0.0,,
85085,0.0,,
85086,0.0,,
85087,0.0,,
85118,0.0,,
85119,0.0,,
85120,18.0,,
85121,2.0,,
85122,8.0,,
85123,0.0,,
85128,0.0,,
85131,0.0,,
85132,0.0,,
85137,0.0,,
85138,0.0,,
85139,0.0,,
85140,0.0,,
85142,0.0,,
85143,0.0,,
85145,0.0,,
85147,0.0,,
85173,0.0,,
85193,0.0,,
85194,0.0,,
85201,31.0,,
85202,64.0,,
85203,66.0,,
85204,70.0,,
85205,67.0,,
85206,43.0,,
85207,3.0,,
85208,42.0,,
85209,61.0,,
85210,71.0,,
85212,11.0,,
85213,49.0,,
85215,0.0,,
85224,66.0,,
85225,34.0,,
85226,0.0,,
85233,26.0,,
85234,35.0,,
85248,16.0,,
85249,20.0,,
85250,21.0,,
85251,85.0,,
85253,0.0,,
85254,26.0,,
85255,0.0,,
85256,2.0,,
85257,74.0,,
85258,29.0,,
85259,2.0,,
85260,22.0,,
85264,0.0,,
85266,10.0,,
85268,15.0,,
85281,46.0,,
85282,70.0,,
85283,68.0,,
85284,26.0,,
85286,20.0,,
85295,62.0,,
85296,26.0,,
85297,1.0,,
85298,40.0,,
85301,65.0,,
85302,57.0,,
85303,52.0,,
85304,44.0,,
85305,42.0,,
85306,30.0,,
85307,6.0,,
85308,50.0,,
85310,5.0,,
85321,0.0,,
85323,8.0,,
85326,0.0,,
85329,50.0,,
85331,0.0,,
85334,0.0,,
85335,11.0,,
85336,1.0,,
85337,0.0,,
85338,0.0,,
85339,0.0,,
